uuid,title,price,url
f70a5ab6-8717-46cc-8177-e5822b40faf1,chính chủ tên mình 98m2 đất mai hiên mai lâm đông anh lh 0984 966 ***,4450000000.0,https://batdongsan.com.vn/ban-dat-xa-mai-lam/chinh-chu-ten-minh-98m-hien-dong-anh-lh-pr39243898
ddda5ce0-a6df-4ee5-97e4-af5489746dd4,bán nhanh căn hộ 82m2 view thành phố đẹp nhất feliz homes - tầng ngoại giao 0395 084 ***,4200000000.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-hoang-van-thu-4-prj-feliz-homes/ban-nhanh-82m-view-thanh-p-dep-nhat-mes-tang-ngoai-giao-pr39425439
89ed11e2-915b-42e9-883b-293ae06126ad,bán nhanh căn hộ 1+1pn 52m2 giá 3.190 tỷ view sông tầng cao hướng tây nam cực đẹp. lh 0919 207 ***,3190000000.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-thanh-my-loi-prj-victoria-village/ban-nhanh-1-1pnm2-52-gia-3-190-ty-view-song-tang-cao-huong-tay-nam-cuc-dep-lh-0919207168-pr37569158
7c2ef7f8-0207-4c81-ae46-25c689e0d764,(bql) quỹ căn bán 2pn-3pn rẻ nhất thị trường tại dự án king palace nơi các vị vua ở lh: 0943 075 ***,5600000000.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-trai-phuong-thuong-dinh-prj-king-palace/-bql-quy-ban-2pn-3pn-re-nhat-thi-truong-tai-du-an-noi-cac-vi-vua-o-lh-pr39371344
3b7f8053-d38d-432f-90a1-13cb47868c03,"bán căn hộ the panorama. dt: 166m2, 3pn, 2wc full nội thất, lầu cao, view sông. giá 9 tỷ 0918 998 ***",9000000000.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ton-dat-tien-phuong-tan-phong-9-prj-the-panorama/ban-dt-166m2-3pn-2wc-full-noi-that-lau-cao-view-song-gia-9-ty-0918998139-pr36454578
4b54610b-a194-4c3d-b675-81ac2f975acb,tòa flc landmark tower - chính chủ bán căn góc 3 pn dt 153m2 - giá 40 tr/m2. lh a minh 0981 035 ***,6120000000.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duc-tho-phuong-my-dinh-2-prj-flc-landmark-tower/toa-chinh-chu-ban-goc-3-pn-dt-153m2-gia-40-tr-m2-lh-a-minh-pr39370835
91fa2fb8-89fd-4b33-aa18-30f000c09c10,cđt chiết khấu 10% bán căn 2 phòng ngủ giá 2 tỷ - 0% lãi suất 24 tháng. pkd cđt: 0909 278 ***,2000000000.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-quoc-lo-13-phuong-vinh-phu-prj-the-rivana/chu-dau-tu-chiet-khau-150-trieu-tang-full-noi-that-0-lai-suat-18thang-pkd-cdt-pr38673991
e8b0d25c-1bcf-450f-9a5b-ba88cacd0427,"bán căn hộ ricca dt 57m2 2pn & 1wc, lầu cao, đầy đủ nội thất như ảnh, giá 2.050 tỉ, lh 0932 055 ***",2050000000.0,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-go-cat-phuong-phu-huu-2-prj-can-ho-ricca-quan-9/ban-dt-57m2-2pn-1wc-lau-cao-day-du-noi-that-nhu-anh-gia-2-3ti-lh-0932055659-pr36516028
958738c3-1fa5-414d-856c-a81b476c0a9b,bán đất đường số 8 green city đường 50m đối diện aeonmall tân an 0909 480 ***,6000000000.0,https://batdongsan.com.vn/ban-dat-nen-du-an-duong-so-8-phuong-6_1-prj-green-city-long-an/ban-8-50m-doi-dien-aeonmall-tan-an0909480087-pr36351193
6e598b2f-d498-437a-8156-d1702c8066b3,"biệt thự lucasta: bán căn song lập 175m2 & căn đơn lập 280m2 - giá từ 21.4 tỷ, gọi 0907 755 ***",30000000000.0,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lien-phuong-phuong-phu-huu-2-prj-lucasta-villa/-ban-can-song-lap-175m2-can-don-lap-280m2-gia-tu-25-ty-goi-0907-755-587-pr37338929
